name,ring,quadrant,isNew,description
HCL language,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://www.linode.com/docs/guides/introduction-to-hcl/"">HCL</a> is a configuration language authored by HashiCorp. HCL is used with HashiCorp’s cloud infrastructure automation tools, like Terraform. The language was created with the goal of being both human and machine friendly. It is JSON compatible, which means it is interoperable with other systems outside of the Terraform product line.</p>"
C# .Net Core,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://docs.microsoft.com/en-us/dotnet/core/introduction"">C# .Net Core</a> is a type-safe object-oriented language that enables developers to build secure and robust applications that run in the .NET ecosystem. .Net Core applications can be hosted on many operating systems e.g. Widows, Linux, macOS </p>"
T-SQL,Adopt,languages-and-frameworks,FALSE,"<p>SQL- Structured Query Language is a domain-specific language used in programming and designed for managing data held in a relational database management system (RDBMS).. It is particularly useful in handling structured data, i.e. data incorporating relations among entities and variables. MS SQL server uses T-SQL language for querying the relational data in various ways.</p>"
Cosmos query language,Adopt,languages-and-frameworks,FALSE,<p>In Cosmosdb SQL API we can query data by writing queries using the Structured Query Language (SQL) as a JSON query language</p>
Angular,Adopt,languages-and-frameworks,FALSE,<p>Angular is a TypeScript-based open-source web application frameworks for developing front-end applications that can run on all web browsers.</p>
Powershell,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://docs.microsoft.com/en-us/powershell/scripting/overview?view=powershell-7.1"">PowerShell </a> is a cross-platform task automation and configuration management framework, consisting of a command-line shell and scripting language.PowerShell is built on top of the .NET Common Language Runtime (CLR), and accepts and returns .NET objects.</p>"
Javascript,Adopt,languages-and-frameworks,FALSE,"<p>Javascript is a programming language that is vastly used for developing web based client-side applications. JavaScript supports event-driven, functional, and imperative programming style.</p>"
YAML,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://yaml.org/"">YAML </a> is a human-readable data-serialization language. PwC is using YAML for writing build pipelines in azure devops projects.</p>"
Google App Script,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://developers.google.com/apps-script/overview"">Google Apps Script</a> is a rapid application development platform that makes it fast and easy to create business applications that integrate with Google Workspace.</p>"
CSS 3,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://www.w3.org/Style/CSS/Overview.en.html"">Cascading Style Sheets (CSS)</a> is a simple mechanism for adding style (e.g., fonts, colors, spacing) to Web documents..</p>"
HTML 5,Adopt,languages-and-frameworks,FALSE,<p>HTML5 is a markup language used for structuring and presenting content on the World Wide Web. It is the fifth and last major HTML version that is a World Wide Web Consortium (W3C) recommendation.</p>
